School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level
Abington High,Abington High,Abington,Public School,452,15.8,21.5,28.8,13270.84,Level 1,42.0,Performing,"Abington High maintains a high graduation rate and college attendance, reflecting solid overall performance.",Graduation rate,SAT scores,High School
Agawam High,Agawam High,Agawam,Public School,1222,16.8,22.7,32.0,14363.21,Level 2,41.0,Performing,Agawam High demonstrates solid graduation and college attendance rates with room for improvement in SAT scores.,Graduation Rate,SAT Scores,High School
Amesbury High,Amesbury High,Amesbury,Public School,594,16.7,14.6,25.9,13771.87,Level 2,53.0,Performing,Amesbury High boasts a strong graduation rate and AP performance.,Graduation Rate,College Attendance,High School
Andover High,Andover High,Andover,Public School,1806,14.7,6.3,20.9,15601.7,Level 2,81.0,Thriving,Andover High boasts an impressive graduation rate of 95.7% and strong college attendance.,Graduation,Funding,High School
Arlington High,Arlington High,Arlington,Public School,1290,14.3,10.3,20.7,13382.77,Level 1,73.0,Thriving,Arlington High boasts an impressive graduation rate of 98.1% and strong college attendance.,Graduation rate,Average SAT scores,High School
Ashland High,Ashland High,Ashland,Public School,744,14.6,10.3,22.8,13607.92,Level 1,89.0,Thriving,Ashland High showcases impressive graduation and college attendance rates.,Graduation rate,SAT scores,High School
Attleboro Community Academy,Attleboro Comm,Attleboro,Public School,63,7.6,46.0,54.0,12980.4,Insufficient data,,At Risk,"The school has a graduation rate below 50%, indicating significant challenges.",Small class size,Low graduation rate,High School
Attleboro High,Attleboro High,Attleboro,Public School,1671,18.1,25.6,35.5,12980.4,Level 2,30.0,Performing,"Attleboro High has a commendable graduation rate and college attendance, reflecting solid overall performance.",Graduation rate,SAT scores,High School
Auburn Senior High,Auburn Senior H,Auburn,Public School,795,17.3,15.2,23.8,13580.88,Level 2,45.0,Performing,Auburn Senior High showcases strong graduation and college attendance rates.,Graduation,SAT scores,High School
Avon Middle High School,Avon Middle HS,Avon,Public School,319,13.3,23.8,34.8,14284.49,Level 2,29.0,Performing,Avon Middle High School has a solid college attendance rate despite average SAT scores.,College Attendance,SAT Scores,High School
Barnstable High,Barnstable High,Hyannis,Public School,1866,15.3,25.5,36.4,15012.81,Level 2,43.0,Performing,Barnstable High demonstrates solid graduation and college attendance rates with room for improvement in SAT scores.,Graduation rate,SAT scores,High School
Bedford High,Bedford High,Bedford,Public School,888,12.3,7.8,22.7,17839.45,Level 1,87.0,Thriving,Bedford High boasts an impressive graduation rate of 95.2% and high college attendance.,Graduation,N/A,High School
Belchertown High,Belchertown Hig,Belchertown,Public School,710,14.0,13.5,22.1,12591.99,Level 1,84.0,Thriving,Belchertown High showcases excellent college attendance rates and strong AP performance.,College attendance,N/A,High School
Bellingham High School,Bellingham HS,Bellingham,Public School,739,18.3,15.6,31.7,13220.48,Level 2,64.0,Performing,Bellingham High School showcases strong graduation and low dropout rates.,Graduation,SAT scores,High School
Belmont High,Belmont High,Belmont,Public School,1264,19.2,6.5,14.3,13028.52,Level 1,93.0,Thriving,Belmont High boasts an impressive graduation rate of 97.8% and exceptional AP performance.,Graduation rate,None,High School
Beverly High,Beverly High,Beverly,Public School,1285,18.9,23.8,35.2,13188.37,Level 2,39.0,Performing,Beverly High maintains a solid graduation rate with a commendable college attendance percentage.,Graduation rate,SAT scores,High School
Billerica Memorial High School,Billerica Memor,Billerica,Public School,1376,17.7,15.2,26.7,15434.97,Level 2,47.0,Performing,Billerica Memorial High School boasts a strong graduation rate of 92.4%.,Graduation Rate,SAT Scores,High School
Another Course To College,Another Course,Hyde Park,Public School,223,16.8,61.4,73.1,19246.36,Level 2,27.0,Performing,The school boasts a high graduation rate and college attendance despite lower SAT and AP scores.,Graduation Rate,Standardized Test Scores,High School
Boston Adult Academy,Boston Adult Ac,Back Bay,Public School,197,18.1,51.3,93.4,19246.36,Insufficient data,,At Risk,"The graduation rate is alarmingly low at 27.6%, indicating urgent need for intervention.",None,Graduation rate,High School
Boston Arts Academy,Boston Arts Aca,Boston,Public School,447,14.6,43.6,55.3,19246.36,Level 1,21.0,Performing,Boston Arts Academy has a solid graduation rate but lacks AP success.,Graduation,AP Scores,High School
Boston Community Leadership Academy,Boston Comm Lea,Hyde Park,Public School,500,16.5,56.0,77.2,19246.36,Level 2,23.0,Performing,"The school has a solid graduation rate and college attendance, indicating stable outcomes.",Graduation rate,SAT scores,High School
