School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,% English Language Learner,% Students With Disabilities,% Graduated,% Dropped Out,% Attending College,Average SAT_Math,Average SAT_Reading,% AP_Score 3-5,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level,IF_Classification,State_Level
Abington High,Abington High,Abington,Public School,452,15.8,21.5,28.8,2.4,9.7,94.7,3.5,75.8,516.0,520.0,56.1,13270.84,Level 1,42.0,Performing,"Abington High maintains a high graduation rate and college attendance, reflecting solid overall performance.",Graduation rate,SAT scores,High School,Thriving,Level 1
Agawam High,Agawam High,Agawam,Public School,1222,16.8,22.7,32.0,1.3,14.1,94.2,3.7,81.6,514.0,496.0,66.4,14363.21,Level 2,41.0,Performing,Agawam High demonstrates solid graduation and college attendance rates with room for improvement in SAT scores.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Amesbury High,Amesbury High,Amesbury,Public School,594,16.7,14.6,25.9,0.5,17.0,93.9,1.2,72.6,534.0,531.0,81.0,13771.87,Level 2,53.0,Performing,Amesbury High boasts a strong graduation rate and AP performance.,Graduation Rate,College Attendance,High School,Thriving,Level 2
Andover High,Andover High,Andover,Public School,1806,14.7,6.3,20.9,0.8,16.1,95.7,0.5,89.3,581.0,566.0,78.1,15601.7,Level 2,81.0,Thriving,Andover High boasts an impressive graduation rate of 95.7% and strong college attendance.,Graduation,Funding,High School,Thriving,Level 2
Arlington High,Arlington High,Arlington,Public School,1290,14.3,10.3,20.7,0.9,11.1,98.1,1.3,85.0,592.0,581.0,86.1,13382.77,Level 1,73.0,Thriving,Arlington High boasts an impressive graduation rate of 98.1% and strong college attendance.,Graduation rate,Average SAT scores,High School,Thriving,Level 1
Ashland High,Ashland High,Ashland,Public School,744,14.6,10.3,22.8,1.7,13.2,95.1,1.1,87.7,576.0,549.0,94.6,13607.92,Level 1,89.0,Thriving,Ashland High showcases impressive graduation and college attendance rates.,Graduation rate,SAT scores,High School,Thriving,Level 1
Attleboro Community Academy,Attleboro Comm,Attleboro,Public School,63,7.6,46.0,54.0,0.0,9.5,43.6,12.7,21.9,,,,12980.4,Insufficient data,,At Risk,"The school has a graduation rate below 50%, indicating significant challenges.",Small class size,Low graduation rate,High School,At Risk,Insufficient data
Attleboro High,Attleboro High,Attleboro,Public School,1671,18.1,25.6,35.5,2.3,14.2,91.0,4.1,74.3,504.0,494.0,61.9,12980.4,Level 2,30.0,Performing,"Attleboro High has a commendable graduation rate and college attendance, reflecting solid overall performance.",Graduation rate,SAT scores,High School,Thriving,Level 2
Auburn Senior High,Auburn Senior H,Auburn,Public School,795,17.3,15.2,23.8,2.1,9.6,96.9,0.6,79.1,505.0,488.0,46.8,13580.88,Level 2,45.0,Performing,Auburn Senior High showcases strong graduation and college attendance rates.,Graduation,SAT scores,High School,Thriving,Level 2
Avon Middle High School,Avon Middle HS,Avon,Public School,319,13.3,23.8,34.8,2.2,16.3,83.3,6.3,87.8,481.0,467.0,37.0,14284.49,Level 2,29.0,Performing,Avon Middle High School has a solid college attendance rate despite average SAT scores.,College Attendance,SAT Scores,High School,Performing,Level 2
Barnstable High,Barnstable High,Hyannis,Public School,1866,15.3,25.5,36.4,6.2,12.2,84.6,7.6,75.5,513.0,505.0,59.8,15012.81,Level 2,43.0,Performing,Barnstable High demonstrates solid graduation and college attendance rates with room for improvement in SAT scores.,Graduation rate,SAT scores,High School,Performing,Level 2
